,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Hoods,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,Start_Year,Start_Date
300631,1316889-10-221,1139930,Yoma Cafe,Yoma Cafe,1518 Irving St,San Francisco,CA,94122,10/21/2022,,10/21/2022,,1518 Irving St,San Francisco,94122,CA,7220-7229,Food Services,False,False,H24,,7.0,Inner Sunset,,POINT (-122.47418 37.763718),1316889-10-221-1139930-7220-7229-10-21-2022,109.0,10.0,11.0,14.0,109.0,2022,2022-10-21
300661,1304300-05-221,1134646,Tokachi Musubi Llc,Tokachi Musubi,900 Avenue D,San Francisco,CA,94130,04/25/2022,,04/25/2022,,771 35th Ave Apt 2,San Francisco,94121,CA,7220-7229,Food Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,6.0,Treasure Island,,POINT (-122.37378 37.825867),1304300-05-221-1134646-7220-7229-04-25-2022,36.0,1.0,10.0,37.0,36.0,2022,2022-04-25
300725,1316664-10-221,1139836,Keith R Hopkins,Keith R Hopkins,3134 24th St,San Francisco,CA,94110,10/13/2022,,10/13/2022,,685 4th St,Richmond,94801,CA,,,False,False,J02,Body Art Practitioner,9.0,Mission,,POINT (-122.41481 37.752487),1316664-10-221-1139836--10-13-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-10-13
300748,1319475-12-221,1140835,Nadias Dessert Llc,Nadias Dessert Llc,3251 20th Ave,San Francisco,CA,94132-1900,11/25/2022,,11/25/2022,,1630 Auriga Ct,Petaluma,94954,CA,7220-7229,Food Services,False,False,H34,,7.0,Lakeshore,,POINT (-122.47604 37.729206),1319475-12-221-1140835-7220-7229-11-25-2022,41.0,10.0,8.0,16.0,41.0,2022,2022-11-25
300795,1317551-11-221,336398,Citiscape Prop Mgt Group Llc,150 Powell St,150 Powell St,San Francisco,CA,94102-2204,01/01/2000,,11/01/2022,,3450 3rd St 1a Ste,San Francisco,94124,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,D26,Station Tanks - Above Ground,3.0,Financial District/South Beach,,POINT (-122.40791 37.78596),1317551-11-221-0336398-5300-5399-11-01-2022,19.0,6.0,3.0,8.0,19.0,2022,2022-11-01
300802,1317557-11-221,1093318,"Valencia F W, Llc",Yellow Moto Pizzeria,704 Valencia Street,San Francisco,CA,94110,08/16/2018,,08/16/2018,11/01/2022,702 Valencia St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",9.0,Mission,,POINT (-122.4216 37.76155),1317557-11-221-1093318-7220-7229-08-16-2018,37.0,3.0,5.0,20.0,37.0,2018,2018-08-16
300822,1304073-05-221,1134795,"Asha Tea House, Llc","Asha Tea House, Llc",17 Kearny St,San Francisco,CA,94108,04/25/2022,,04/25/2022,,2086 University Ave,Berkeley,94704,CA,7220-7229,Food Services,False,False,H24,,3.0,Financial District/South Beach,,POINT (-122.40356 37.78812),1304073-05-221-1134795-7220-7229-04-25-2022,19.0,6.0,3.0,8.0,19.0,2022,2022-04-25
300872,1310086-07-221,1137055,Tangerine Lane Inc,Farmhouse Kitchen Thai Cuisine,710 Florida St,San Francisco,CA,94110,07/18/2022,,07/18/2022,,710 Florida St,San Francisco,94110,CA,7220-7229,Food Services,False,False,D04 D47 H26,Multiple,9.0,Mission,,POINT (-122.41097 37.76022),1310086-07-221-1137055-7220-7229-07-18-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-07-18
300873,1318094-11-221,1140451,"Mg-Spt, Llc",Bar Sprezzatura,300 Clay St # 100,San Francisco,CA,94111,09/23/2022,,09/23/2022,,545 E John Carpenter Way Ste 1400,Irving,75062,TX,7220-7229,Food Services,False,False,D04 H26,"Restaurant Greater Than 2,000 Sqft",3.0,Financial District/South Beach,,POINT (-122.39904 37.795204),1318094-11-221-1140451-7220-7229-09-23-2022,108.0,6.0,3.0,8.0,108.0,2022,2022-09-23
300912,1265755-12-201,1114232,500 Columbus Llc,Red Window,500 Columbus Ave,San Francisco,CA,94133-2802,05/13/2020,,12/01/2020,,500 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,P54,Limited Live Performance,3.0,North Beach,,POINT (-122.40908 37.79957),1265755-12-201-1114232-7220-7229-12-01-2020,106.0,6.0,3.0,23.0,106.0,2020,2020-12-01
300949,1317132-10-221,1140039,Kai Muan-Lynn Chao,Kai Muan-Lynn Chao,3150 18th St #276,San Francisco,CA,94110,10/04/2022,,10/04/2022,,1187 Santa Lucia Dr,Pittsburg,94565,CA,,,False,False,J02,Body Art Practitioner,9.0,Mission,,POINT (-122.41415 37.762177),1317132-10-221-1140039--10-04-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-10-04
301044,1316549-10-221,1139790,Saru Handroll Bar,Saru Handroll Bar,2206 Polk St,San Francisco,CA,94109,10/19/2022,,10/19/2022,,2206 Polk St,San Francisco,94109,CA,7220-7229,Food Services,False,False,H25,,3.0,Russian Hill,,POINT (-122.42195 37.797035),1316549-10-221-1139790-7220-7229-10-19-2022,105.0,4.0,3.0,32.0,105.0,2022,2022-10-19
301064,1315298-09-221,1139247,Relax With Joy Llc,Relax With Joy Llc,414 Jackson St Ste 205,San Francisco,CA,94111,10/01/2022,,10/01/2022,,414 Jackson St Ste 205,San Francisco,94111,CA,6100-6299,Private Education and Health Services,False,False,H70,,3.0,Chinatown,,POINT (-122.40216 37.79661),1315298-09-221-1139247-6100-6299-10-01-2022,106.0,6.0,3.0,6.0,106.0,2022,2022-10-01
301065,1317218-10-221,1140081,Yasukochi's Sweet Stop Llc,Yasukochi's Sweet Stop,1790 Sutter St,San Francisco,CA,94115,10/28/2022,,10/28/2022,,1790 Sutter St,San Francisco,94115,CA,7220-7229,Food Services,False,False,H25,,5.0,Pacific Heights,,POINT (-122.429756 37.78656),1317218-10-221-1140081-7220-7229-10-28-2022,101.0,4.0,11.0,30.0,101.0,2022,2022-10-28
301136,1314927-09-221,1139095,"Casaro Marina, Inc",Il Casaro Pizzeria & Mozzarella Bar,2136 Union St,San Francisco,CA,94123,09/01/2022,,09/01/2022,,2136 Union St,San Francisco,94123,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",2.0,Marina,,POINT (-122.43449 37.797245),1314927-09-221-1139095-7220-7229-09-01-2022,15.0,4.0,6.0,13.0,15.0,2022,2022-09-01
301170,1315425-10-221,1139301,Harvester Group Sf Llc,Nick The Greek Sf,121 Spear St Ste B08,San Francisco,CA,94105,09/26/2022,,09/26/2022,,1098 Foster City Blvd # 106-844,Foster City,94404,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",6.0,Financial District/South Beach,,POINT (-122.39368 37.792267),1315425-10-221-1139301-7220-7229-09-26-2022,108.0,1.0,10.0,8.0,108.0,2022,2022-09-26
301171,1315923-10-221,1139532,Lichun Song,Lily Massage Therapy,1473 Pine St,San Francisco,CA,94109,10/12/2022,,10/12/2022,,1473 Pine St,San Francisco,94109,CA,6100-6299,Private Education and Health Services,False,False,H67,Massage Establishment,3.0,Nob Hill,,POINT (-122.42 37.789658),1315923-10-221-1139532-6100-6299-10-12-2022,50.0,4.0,3.0,21.0,50.0,2022,2022-10-12
301215,1316698-10-221,475902,Ccsf Recreational Park Dept.,Francisco Park Conservancy,2445 Hyde St,San Francisco,CA,94109,02/14/2012,,10/20/2022,,501 Stanyan St,San Francisco,94117,CA,,,False,False,H 100,,2.0,Russian Hill,,POINT (-122.42 37.80373),1316698-10-221-0475902--10-20-2022,107.0,6.0,6.0,32.0,107.0,2022,2022-10-20
301242,1316842-10-221,1139914,2130 Irving Seafood Market Inc,2130 Irving Seafood Market Inc,2130 Irving St,San Francisco,CA,94122,10/23/2022,,10/23/2022,,2130 Irving St,San Francisco,94122,CA,4400-4599 4200-4299,Multiple,False,False,H07,,4.0,Sunset/Parkside,,POINT (-122.48071 37.76343),1316842-10-221-1139914-4400-4599 4200-4299-10-23-2022,39.0,10.0,7.0,35.0,39.0,2022,2022-10-23
301277,1316727-10-221,1139861,King Cuisines Inc,Gyro King,25 Grove St #4702,San Francisco,CA,94102,10/01/2022,,10/01/2022,,25 Grove St # 4702,San Francisco,94102,CA,7220-7229,Food Services,False,False,H25,,6.0,Tenderloin,,POINT (-122.415535 37.778763),1316727-10-221-1139861-7220-7229-10-01-2022,21.0,5.0,10.0,36.0,21.0,2022,2022-10-01
301279,1254591-06-201,1115299,Experteas Corp,Happy Lemon,1320 4th St,San Francisco,CA,94158,07/01/2019,,07/01/2019,,1678 Alemany Blvd,San Francisco,94112,CA,7220-7229,Food Services,False,False,H28,Take-Out Establishment,6.0,Mission Bay,,POINT (-122.39148 37.77171),1254591-06-201-1115299-7220-7229-07-01-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-07-01
301301,1255025-07-201,1115479,Muesi California Llc,Muesi Cafe,Union St,San Francisco,CA,94123,05/29/2020,,07/06/2020,12/28/2020,2055 Union St Ste B,San Francisco,94123,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",2.0,Marina,,POINT (-122.43387 37.797295),1255025-07-201-1115479-7220-7229-07-06-2020,15.0,4.0,6.0,13.0,15.0,2020,2020-07-06
301320,1307300-06-221,1135978,Ramon U Martinez Flores And Olbin Flores Ponce,Honduras Kitchen,5278 Mission St,San Francisco,CA,94112,06/09/2022,,06/09/2022,,5278 Mission St,San Francisco,94112,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",11.0,Outer Mission,,POINT (-122.44237 37.714893),1307300-06-221-1135978-7220-7229-06-09-2022,80.0,9.0,1.0,28.0,80.0,2022,2022-06-09
301321,1307455-06-221,1136036,Emma Foods Inc,Columbus Burgers,57 Columbus Ave,San Francisco,CA,94111,06/10/2022,,06/10/2022,,57 Columbus Ave,San Francisco,94111,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Chinatown,,POINT (-122.4042 37.79612),1307455-06-221-1136036-7220-7229-06-10-2022,104.0,6.0,3.0,6.0,104.0,2022,2022-06-10
301369,1256801-07-201,1115818,Gomez Linaje Escogido Llc,Unexpectedera Cafe,614 Polk St,San Francisco,CA,94124,07/15/2020,,07/15/2020,,1454 Quesada Ave,San Francisco,94124,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",5.0,Tenderloin,Lower Polk,POINT (-122.41878 37.782413),1256801-07-201-1115818-7220-7229-07-15-2020,20.0,5.0,10.0,36.0,20.0,2020,2020-07-15
301386,1308988-07-221,1136620,Wela Thai Massage And Spa Llc,Wela Thai Massage And Spa,2343 Market St Bldg,San Francisco,CA,94114,07/01/2022,,07/01/2022,,2343 Market St Bldg,San Francisco,94114,CA,6100-6299,Private Education and Health Services,False,False,H67,Massage Establishment,8.0,Castro/Upper Market,,POINT (-122.43391 37.76344),1308988-07-221-1136620-6100-6299-07-01-2022,38.0,3.0,5.0,5.0,38.0,2022,2022-07-01
301445,1309643-07-221,1136883,111ri Llc,Rosemary & Pine,111 Rhode Island St Ste 7,San Francisco,CA,94103,07/01/2022,,07/01/2022,,111 Rhode Island St Ste 7,San Francisco,94103,CA,7220-7229,Food Services,False,False,D04 H26,Multiple,6.0,Mission Bay,,POINT (-122.40287 37.768448),1309643-07-221-1136883-7220-7229-07-01-2022,33.0,1.0,9.0,4.0,33.0,2022,2022-07-01
301446,1232190-08-191,450267,Off The Grid Services Llc,Salesforce Plaza,415 Mission St,San Francisco,CA,94105,06/18/2010,,08/12/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",6.0,Financial District/South Beach,,POINT (-122.39685 37.7903),1232190-08-191-0450267-5210-5239-08-12-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-08-12
301450,1223518-05-191,450267,Off The Grid Services Llc,Off The Grid [Msu],425 Mission St,San Francisco,CA,94105,06/18/2010,,05/29/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H79,Mobile Food Facility 5,6.0,Financial District/South Beach,,POINT (-122.39693 37.790237),1223518-05-191-0450267-5210-5239-05-29-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-05-29
301458,1237273-10-191,450267,Off The Grid Services Llc,Capsule 1,215 Fremont St 3,San Francisco,CA,94105,06/18/2010,,10/17/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H78,Mobile Food Facility 4,6.0,Financial District/South Beach,,POINT (-122.39485 37.789036),1237273-10-191-0450267-5210-5239-10-17-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-10-17
301459,1230497-08-191,450267,Off The Grid Services Llc,Transbay Terminal,76 Natoma St,San Francisco,CA,94105,06/18/2010,,08/09/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",6.0,Financial District/South Beach,,POINT (-122.398155 37.78775),1230497-08-191-0450267-5210-5239-08-09-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-08-09
301464,1232553-08-191,450267,Off The Grid Services Llc,Big Blue Truck,2 Marina  C370,San Francisco,CA,94123,06/18/2010,,08/29/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,2.0,Marina,,POINT (-122.43221 37.80523),1232553-08-191-0450267-5210-5239-08-29-2019,17.0,4.0,6.0,13.0,17.0,2019,2019-08-29
301465,1246730-02-201,450267,Off The Grid Services Llc,Off The Grid Services Llc,1661 Tennessee St Ste 2j,San Francisco,CA,94107,06/18/2010,,08/09/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H30,Catering Facility,10.0,Bayview Hunters Point,,POINT (-122.38852 37.750732),1246730-02-201-0450267-5210-5239-08-09-2019,56.0,2.0,9.0,1.0,56.0,2019,2019-08-09
301470,1237274-10-191,450267,Off The Grid Services Llc,Capsule 2,215 Fremont St 4,San Francisco,CA,94105,06/18/2010,,10/17/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H78,Mobile Food Facility 4,6.0,Financial District/South Beach,,POINT (-122.39485 37.789036),1237274-10-191-0450267-5210-5239-10-17-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-10-17
301471,1246729-02-201,450267,Off The Grid Services Llc,Off The Grid Services Llc,1661 Tennessee St Ste 3b,San Francisco,CA,94107,06/18/2010,,08/09/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H30,Catering Facility,10.0,Bayview Hunters Point,,POINT (-122.38852 37.750732),1246729-02-201-0450267-5210-5239-08-09-2019,56.0,2.0,9.0,1.0,56.0,2019,2019-08-09
301477,1310317-07-221,1137152,True Hospitality Group Llc,Cavana Rooftop Bar,108 Channel St Fl 17,San Francisco,CA,94158,07/21/2022,,07/21/2022,,108 Channel St Fl 17,San Francisco,94158,CA,7220-7229,Food Services,False,False,H87 P23,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.3901 37.774628),1310317-07-221-1137152-7220-7229-07-21-2022,34.0,1.0,10.0,4.0,34.0,2022,2022-07-21
301478,1238278-11-191,450267,Off The Grid Services Llc,Local Hero,215 Fremont St,San Francisco,CA,94105,06/18/2010,,11/11/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,D19 H79,Multiple,6.0,Financial District/South Beach,,POINT (-122.39485 37.789036),1238278-11-191-0450267-5210-5239-11-11-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-11-11
301479,1229714-08-191,450267,Off The Grid Services Llc,Off The Grid Services Llc,215 Fremont St Bldg,San Francisco,CA,94105,06/18/2010,,08/01/2019,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H85,Employee Cafeterias W/o Food Prep,6.0,Financial District/South Beach,,POINT (-122.39485 37.789036),1229714-08-191-0450267-5210-5239-08-01-2019,32.0,1.0,10.0,8.0,32.0,2019,2019-08-01
301480,1245283-02-201,450267,Off The Grid Services Llc,Levis Plaza,1155 Battery St,San Francisco,CA,94111,06/18/2010,,02/05/2020,,2 Marina Blvd # C370,San Francisco,94123,CA,5210-5239,Financial Services,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",3.0,Financial District/South Beach,,POINT (-122.40175 37.80188),1245283-02-201-0450267-5210-5239-02-05-2020,77.0,6.0,3.0,8.0,77.0,2020,2020-02-05
301506,1318239-11-221,1140515,Bun Love Llc,Bun Love Llc,601 Mission Bay Blvd,San Francisco,CA,94158,11/10/2022,,11/10/2022,,673 Brannan St Unit 304,San Francisco,94107,CA,7220-7229,Food Services,False,False,H79,,6.0,Mission Bay,,POINT (-122.391266 37.770523),1318239-11-221-1140515-7220-7229-11-10-2022,34.0,1.0,10.0,4.0,34.0,2022,2022-11-10
301509,1318237-11-221,1140514,Fengwei Han,Guo Zu Yin Foot Reflexology,662 Jackson St,San Francisco,CA,94133,11/10/2022,,11/10/2022,,449 Laurel Ave,Hayward,94541,CA,6100-6299,Private Education and Health Services,False,False,H67,,3.0,Chinatown,,POINT (-122.40612 37.79612),1318237-11-221-1140514-6100-6299-11-10-2022,104.0,6.0,3.0,6.0,104.0,2022,2022-11-10
301513,1318241-11-221,1140516,Cafe La Rosa,Cafe La Rosa,791 Ofarrell St,San Francisco,CA,94109,11/01/2022,,11/01/2022,,791 Ofarrell St,San Francisco,94109,CA,7220-7229,Food Services,False,False,H25,,5.0,Tenderloin,,POINT (-122.41767 37.785168),1318241-11-221-1140516-7220-7229-11-01-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-11-01
301526,1310913-07-221,1137390,"Everymeal, Inc.",Mezli,601 Mission Bay Blvd,San Francisco,CA,94158,07/28/2022,,07/28/2022,,1007 Howard Ave,San Mateo,94401,CA,7220-7229,Food Services,False,False,H24 H28,Multiple,6.0,Mission Bay,,POINT (-122.391266 37.770523),1310913-07-221-1137390-7220-7229-07-28-2022,34.0,1.0,10.0,4.0,34.0,2022,2022-07-28
301548,1319267-11-221,1140953,Ivan E Arias Ramirez,Ivan E Arias Ramirez,1031 Alabama St,San Francisco,CA,94110,11/16/2022,,11/16/2022,,1031 Alabama St,San Francisco,94110,CA,,,False,False,P43,Tow Car Driver,9.0,Mission,,POINT (-122.41119 37.755363),1319267-11-221-1140953--11-16-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-11-16
301549,1319299-12-221,460963,S & L Intl Investment Grp Llc,Best Kept Secret,1055 Taraval St,San Francisco,CA,94116,07/01/2011,,11/18/2022,,1055 Taraval St,San Francisco,94116,CA,4400-4599,Retail Trade,False,False,D04,Places Of Public Assembly & Open-Air Assembly,4.0,Sunset/Parkside,,POINT (-122.47734 37.74295),1319299-12-221-0460963-4400-4599-11-18-2022,40.0,10.0,7.0,35.0,40.0,2022,2022-11-18
301582,1311962-08-221,1137840,Pokedon Llc,Pokedon,5301 Mission St Ste B,San Francisco,CA,94112,08/01/2022,,08/01/2022,,5301 Mission St Ste B,San Francisco,94112,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",11.0,Excelsior,,POINT (-122.44271 37.71448),1311962-08-221-1137840-7220-7229-08-01-2022,58.0,9.0,1.0,7.0,58.0,2022,2022-08-01
301637,1318023-11-221,1140426,Franklin Market 1528 Inc,Franklin Market 1528 Inc,1528 Franklin St,San Francisco,CA,94109,10/01/2022,,10/01/2022,,1528 Franklin St,San Francisco,94109,CA,4400-4599,Retail Trade,False,False,H03,,2.0,Western Addition,,POINT (-122.42363 37.788624),1318023-11-221-1140426-4400-4599-10-01-2022,100.0,4.0,6.0,39.0,100.0,2022,2022-10-01
301649,1313536-09-221,1138516,Ab Taylor Propco Llc,Tilden Hotel,345 Taylor St,San Francisco,CA,94102,09/06/2022,,09/06/2022,,2000 High Wickham Pl Ste 300,Louisville,40245,KY,7210-7219,Accommodations,False,True,Hhh,,5.0,Tenderloin,,POINT (-122.411255 37.785492),1313536-09-221-1138516-7210-7219-09-06-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-09-06
301650,1318025-11-221,1140427,L'mida Llc,L'mida,2359 Chestnut St,San Francisco,CA,94123,11/08/2022,,11/08/2022,,2359 Chestnut St,San Francisco,94123,CA,7220-7229,Food Services,False,False,H26,,2.0,Marina,,POINT (-122.44214 37.80004),1318025-11-221-1140427-7220-7229-11-08-2022,17.0,4.0,6.0,13.0,17.0,2022,2022-11-08
301857,1318438-11-221,1140601,Long Rainbow Day Spa Llc,Long Rainbow Day Spa,1311 23rd Ave,San Francisco,CA,94122,11/15/2022,,11/15/2022,,451 33rd Ave,San Francisco,94121,CA,6100-6299,Private Education and Health Services,False,False,H67,,4.0,Sunset/Parkside,,POINT (-122.48142 37.76311),1318438-11-221-1140601-6100-6299-11-15-2022,39.0,10.0,7.0,35.0,39.0,2022,2022-11-15
301860,1318488-11-221,1140625,Spice Of India Food Inc,Spice Of India,448 Larkin St,San Francisco,CA,94102,11/01/2022,,11/01/2022,,448 Larkin St,San Francisco,94102,CA,7220-7229,Food Services,False,False,H24,,5.0,Tenderloin,,POINT (-122.417206 37.78191),1318488-11-221-1140625-7220-7229-11-01-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-11-01
301877,1318390-11-221,1140579,Churiya Mai Inc,Churiya Mai Inc,211 Kearny St,San Francisco,CA,94108,11/09/2022,,11/09/2022,,211 Kearny St,San Francisco,94108,CA,7220-7229,Food Services,False,False,H25,,3.0,Financial District/South Beach,,POINT (-122.40391 37.78998),1318390-11-221-1140579-7220-7229-11-09-2022,19.0,6.0,3.0,8.0,19.0,2022,2022-11-09
301888,1297553-02-221,1132077,Anomaly Management Llc,Anomaly Management Llc,2600 Sutter St,San Francisco,CA,94115,02/12/2022,,02/12/2022,,2600 Sutter St,San Francisco,94115,CA,,,False,False,H25,,2.0,Presidio Heights,,POINT (-122.4433 37.78484),1297553-02-221-1132077--02-12-2022,103.0,8.0,6.0,31.0,103.0,2022,2022-02-12
301985,1258985-08-201,1117085,Leonardo Flores,Doloreswaterfall,1000 Potrero Ave,San Francisco,CA,94112,08/31/2020,,08/31/2020,,1000 Potrero Ave,San Francisco,94112,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",9.0,Potrero Hill,,POINT (-122.40692 37.755993),1258985-08-201-1117085-7220-7229-08-31-2020,53.0,3.0,2.0,20.0,53.0,2020,2020-08-31
301993,1259155-09-201,1117142,Manbiya Llc,That's Amore Sf,1901 Ocean Ave,San Francisco,CA,94127,02/01/2021,,02/01/2021,,203 Beachview Ave,Pacifica,94044,CA,7220-7229,Food Services,False,False,H25 P54,Multiple,7.0,West of Twin Peaks,Ocean Ave,POINT (-122.46251 37.72503),1259155-09-201-1117142-7220-7229-02-01-2021,67.0,10.0,8.0,41.0,67.0,2021,2021-02-01
302276,1256321-07-201,1115789,Gulistan Yuksel,Geary Kebab House,3809 Geary Blvd,San Francisco,CA,94118,07/15/2020,,07/15/2020,,3809 Geary Blvd,San Francisco,94118,CA,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",1.0,Inner Richmond,,POINT (-122.46015 37.78111),1256321-07-201-1115789-7220-7229-07-15-2020,5.0,8.0,4.0,11.0,5.0,2020,2020-07-15
302328,1317717-11-221,1140298,Zurieli Moreno Gutierrez,Zurieli Moreno Gutierrez,43 Capp St,San Francisco,CA,94103,06/24/2020,,06/24/2020,,43 Capp St,San Francisco,94103,CA,,,False,False,P43,Tow Car Driver,9.0,Mission,,POINT (-122.41864 37.76613),1317717-11-221-1140298--06-24-2020,53.0,3.0,2.0,20.0,53.0,2020,2020-06-24
302351,1313912-09-221,1138671,Khoi Xa - Hien Nguyen,Banh Mi &  Rolls Factory,2646 San Bruno Ave,San Francisco,CA,94134,09/01/2022,,09/01/2022,,1814 Euclid Ave,Berkeley,94709,CA,7220-7229,Food Services,False,False,H28,,9.0,Portola,,POINT (-122.40389 37.728256),1313912-09-221-1138671-7220-7229-09-01-2022,91.0,2.0,2.0,25.0,91.0,2022,2022-09-01
302361,1314600-09-221,1138958,"Edimar, Inc.",Martha's Restaurant,2034 Mission St,San Francisco,CA,94110,09/21/2022,,09/21/2022,,2034 Mission St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H26,,9.0,Mission,,POINT (-122.41965 37.764458),1314600-09-221-1138958-7220-7229-09-21-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-09-21
302372,1291794-11-211,1129747,Wenchang Dumpling Restaurant Inc,Wenchang Dumpling Restaurant,1650 Balboa St,San Francisco,CA,94121,11/04/2021,,11/16/2021,,1650 Balboa St,San Francisco,94121,CA,4400-4599,Retail Trade,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",1.0,Outer Richmond,,POINT (-122.47644 37.776695),1291794-11-211-1129747-4400-4599-11-16-2021,5.0,8.0,4.0,29.0,5.0,2021,2021-11-16
302374,1314507-09-221,1138920,Ok Bay Llc,Lost Cat,587 Post St,San Francisco,CA,94102,09/20/2022,,09/20/2022,,587 Post St,San Francisco,94102,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Tenderloin,,POINT (-122.41141 37.787884),1314507-09-221-1138920-7220-7229-09-20-2022,50.0,6.0,3.0,36.0,50.0,2022,2022-09-20
302384,1261635-10-201,1115378,23rd Mission Produce,23rd & Mission Produce,2700 Mission St,San Francisco,CA,94110,07/01/2020,09/30/2022,07/01/2020,09/30/2022,,,,,,,False,False,H07 Pos01 Wm30,Multiple,9.0,Mission,,POINT (-122.41862 37.753746),1261635-10-201-1115378--07-01-2020,53.0,3.0,2.0,20.0,53.0,2020,2020-07-01
302437,1313908-09-221,1138668,Suryavamsha Llc,Page Hotel,161 Leavenworth St,San Francisco,CA,94102,09/01/2022,,09/01/2022,,161 Leavenworth St,San Francisco,94102,CA,7210-7219,Accommodations,False,True,Hhh,,5.0,Tenderloin,,POINT (-122.41401 37.78241),1313908-09-221-1138668-7210-7219-09-01-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-09-01
302438,1314187-09-221,1138778,Edge Restaurant Group Inc,The Socialite Crafthouse & Kitchen,77 Jefferson St,San Francisco,CA,94133,09/15/2022,,09/15/2022,,24007 Ventura Blvd Ste 285,Calabasas,91302,CA,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",3.0,North Beach,,POINT (-122.41373 37.80845),1314187-09-221-1138778-7220-7229-09-15-2022,99.0,6.0,3.0,23.0,99.0,2022,2022-09-15
302446,1273300-03-211,1122863,Mark Delzer,Mark Delzer,2912 Diamond St #342,San Francisco,CA,94131,04/01/2019,,04/01/2019,,2912 Diamond St #342,San Francisco,94131,CA,2300-2399,Construction,False,False,H59,Certified/cross Connection Tester,8.0,West of Twin Peaks,,POINT (-122.434235 37.733364),1273300-03-211-1122863-2300-2399-04-01-2019,96.0,9.0,5.0,41.0,96.0,2019,2019-04-01
